:-),happyface,positive
:),happyface,positive
:-],happyface,positive
:],happyface,positive
:-3,smileyface,positive
:3,smileyface,positive
:->,happyface,positive
:>,happyface,positive
8-),happyface,positive
8),happyface,positive
:-},happyface,positive
:},happyface,positive
:o),smileyface,positive
:c),smileyface,positive
:^),happyface,positive
=],happyface,positive
=),happyface,positive
:-D,laughingface,positive
:D,laughingface,positive
8-D,laughingface,positive
8D,laughingface,positive
x-D,laughingface,positive
xD,laughingface,positive
X-D,laughingface,positive
XD,laughingface,positive
=D,laughingface,positive
=3,laughingface,positive
B^D,laughingface,positive
:-)),veryhappyface,positive
:'-),tearshappyface,positive
:'),tearshappyface,positive
:-*,kissface,positive
:*,kissface,positive
:×,kissface,positive
;-),winkface,positive
;),winkface,positive
*-),winkface,positive
*),winkface,positive
;-],winkface,positive
;],winkface,positive
;^),winkface,positive
;D,winkface,positive
:-P,tongueface,positive
:P,tongueface,positive
X-P,tongueface,positive
XP,tongueface,positive
x-p,tongueface,positive
xp,tongueface,positive
:-p,tongueface,positive
:p,tongueface,positive
:-Þ,tongueface,positive
:Þ,tongueface,positive
:-þ,tongueface,positive
:þ,tongueface,positive
:-b,tongueface,positive
:b,tongueface,positive
d:,tongueface,positive
=p,tongueface,positive
>:P,tongueface,positive
:-O,surpriseface,positive,negative
:O,surpriseface,positive,negative
:-o,surpriseface,positive,negative
:o,surpriseface,positive,negative
:-0,surpriseface,positive,negative
8-0,surpriseface,positive,negative
>:O,surpriseface,positive,negative
:-(,sadface,negative
:(,sadface,negative
:-c,sadface,negative
:c,sadface,negative
:-<,sadface,negative
:<,sadface,negative
:-[,sadface,negative
:[,sadface,negative
:-||,sadface,negative
>:[,sadface,negative
:{,sadface,negative
:@,sadface,negative
>:(,sadface,negative
:'-(,cryingface,negative
:'(,cryingface,negative
D-':,sadnessface,negative
D:<,sadnessface,negative
D:,sadnessface,negative
D8,sadnessface,negative
D;,sadnessface,negative
D=,sadnessface,negative
DX,sadnessface,negative
:-/,skepticalface,negative
:/,skepticalface,negative
:-.,skepticalface,negative
>:\,skepticalface,negative
>:/,skepticalface,negative
:\,skepticalface,negative
=/,skepticalface,negative
=\,skepticalface,negative
:L,skepticalface,negative
=L,skepticalface,negative
:S,skepticalface,negative
:-|,straightface,negative
:|,straightface,negative
:$,embarrassedface,negative
:-X,sealedlipsface,negative
:X,sealedlipsface,negative
:-#,sealedlipsface,negative
:#,sealedlipsface,negative
:-&,sealedlipsface,negative
:&,sealedlipsface,negative
O:-),saintface,positive
O:),saintface,positive
0:-3,saintface,positive
0:3,saintface,positive
0:-),saintface,positive
0:),saintface,positive
0;^),saintface,positive
>:-),evilface,positive,negative
>:),evilface,positive,negative
}:-),evilface,positive,negative
}:),evilface,positive,negative
3:-),evilface,positive,negative
3:),evilface,positive,negative
>;),evilface,positive,negative
|;-),coolface,positive
|-O,boredface,negative
:-J,tongueincheekface,negative
#-),partiedface,positive
%-),drunkface,positive,negative
%),drunkface,positve,negative
:-###..,sickface,negative
:###..,sickface,negative
<:-|,dumbface,negative
